id,person_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
202,39424,1,0,1,0,1,0,Mixed,2025-09-15 08:49:22+00:00,2025-09-13 12:43:42+00:00
203,39425,1,0,1,0,1,0,Mixed,2025-09-15 08:49:22+00:00,2025-09-13 12:43:42+00:00
204,39426,3,1,2,1,0,0,Favorable,2025-09-13 12:46:14+00:00,2025-09-13 12:43:42+00:00
205,39427,0,0,0,0,0,0,N/A,2025-09-13 12:46:15+00:00,2025-09-13 12:43:42+00:00
206,39428,1,1,0,0,1,0,Unfavorable,2025-09-13 12:46:15+00:00,2025-09-13 12:43:42+00:00
207,39429,3,0,3,0,3,0,Mixed,2025-09-15 08:49:23+00:00,2025-09-13 12:43:42+00:00
208,39430,1,0,1,0,0,0,N/A,2025-09-13 12:46:15+00:00,2025-09-13 12:43:42+00:00
209,39431,1,0,1,0,1,0,Mixed,2025-09-15 08:49:23+00:00,2025-09-13 12:43:42+00:00
210,39432,0,0,0,0,0,0,N/A,2025-09-13 12:46:15+00:00,2025-09-13 12:43:42+00:00
211,39433,1,0,1,0,0,0,N/A,2025-09-13 12:46:15+00:00,2025-09-13 12:43:42+00:00
212,39434,1,0,1,0,0,0,N/A,2025-09-13 12:46:16+00:00,2025-09-13 12:43:42+00:00
213,39435,3,0,3,0,3,0,Mixed,2025-09-15 08:49:23+00:00,2025-09-13 12:43:42+00:00
214,39436,0,0,0,0,0,0,N/A,2025-09-13 12:46:16+00:00,2025-09-13 12:43:42+00:00
215,39437,1,1,0,1,0,0,Favorable,2025-09-13 12:46:16+00:00,2025-09-13 12:43:42+00:00
216,39438,1,0,1,0,1,0,Mixed,2025-09-15 08:49:24+00:00,2025-09-13 12:43:42+00:00
217,39439,2,1,1,0,0,1,Mixed,2025-09-13 12:46:16+00:00,2025-09-13 12:43:42+00:00
218,39440,1,0,1,0,1,0,Mixed,2025-09-15 08:49:24+00:00,2025-09-13 12:43:42+00:00
219,39441,1,0,1,0,1,0,Mixed,2025-09-15 08:49:24+00:00,2025-09-13 12:43:42+00:00
220,39442,10,8,2,4,2,2,Mixed,2025-09-13 12:46:17+00:00,2025-09-13 12:43:42+00:00
221,39443,0,0,0,0,0,0,N/A,2025-09-13 12:46:17+00:00,2025-09-13 12:43:42+00:00
222,39444,1,0,1,0,1,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
223,39445,2,0,2,0,2,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
224,39446,1,0,1,0,1,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
225,39447,1,1,0,1,0,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
226,39448,1,0,1,0,1,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
227,39449,9,2,7,1,0,1,Mixed,2025-09-13 12:46:18+00:00,2025-09-13 12:43:42+00:00
228,39450,1,0,1,0,1,0,Mixed,2025-09-15 08:49:25+00:00,2025-09-13 12:43:42+00:00
229,39451,2,0,2,0,2,0,Mixed,2025-09-15 08:49:26+00:00,2025-09-13 12:43:42+00:00
230,39452,0,0,0,0,0,0,N/A,2025-09-13 12:46:18+00:00,2025-09-13 12:43:42+00:00
231,39453,1,0,1,0,1,0,Mixed,2025-09-15 08:49:26+00:00,2025-09-13 12:43:42+00:00
232,39454,3,0,3,0,3,0,Mixed,2025-09-15 08:49:26+00:00,2025-09-13 12:43:42+00:00
233,39455,0,0,0,0,0,0,N/A,2025-09-13 12:46:18+00:00,2025-09-13 12:43:42+00:00
234,39456,0,0,0,0,0,0,N/A,2025-09-13 12:46:19+00:00,2025-09-13 12:43:42+00:00
235,39457,1,0,1,0,1,0,Mixed,2025-09-15 08:49:26+00:00,2025-09-13 12:43:42+00:00
236,39458,0,0,0,0,0,0,N/A,2025-09-13 12:46:19+00:00,2025-09-13 12:43:42+00:00
237,39459,1,0,1,0,1,0,Mixed,2025-09-15 08:49:27+00:00,2025-09-13 12:43:42+00:00
238,39460,21,4,17,4,0,0,Favorable,2025-09-13 12:46:19+00:00,2025-09-13 12:43:42+00:00
239,39461,2,0,2,0,2,0,Mixed,2025-09-15 08:49:27+00:00,2025-09-13 12:43:42+00:00
240,39462,2,0,2,0,2,0,Mixed,2025-09-15 08:49:27+00:00,2025-09-13 12:43:42+00:00
241,39463,8,0,8,0,0,0,N/A,2025-09-13 12:46:20+00:00,2025-09-13 12:43:42+00:00
242,39464,1,0,1,0,1,0,Mixed,2025-09-15 08:49:27+00:00,2025-09-13 12:43:42+00:00
243,39465,1,0,1,0,1,0,Mixed,2025-09-15 08:49:27+00:00,2025-09-13 12:43:42+00:00
244,39466,1,0,1,0,1,0,Mixed,2025-09-15 08:49:28+00:00,2025-09-13 12:43:42+00:00
245,39467,1,0,1,0,1,0,Mixed,2025-09-15 08:49:28+00:00,2025-09-13 12:43:42+00:00
246,39468,1,0,1,0,0,0,N/A,2025-09-13 12:46:20+00:00,2025-09-13 12:43:42+00:00
